Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,ER
163,Ruan #9,Flamengo,9,5.69,3.22,2.33,2.22,0.22,0.11,0.0,0.0
164,Aquiles #20,Pato Basquete,31,13.18,3.1,3.23,1.94,0.58,0.45,0.13,0.68
165,Lassance #24,Fortaleza B. C.,16,8.62,2.88,2.0,0.94,1.19,0.31,0.0,0.25
166,Danilo #17,BRB/Brasília,19,10.22,2.58,2.58,1.37,0.42,0.32,0.0,0.89
167,M. Douglas #13,Pinheiros,26,10.06,2.58,2.54,2.58,0.08,0.27,0.31,0.46
168,Eugeniusz #6,KTO/Caxias do Sul,28,9.55,2.57,3.07,1.54,0.82,0.57,0.04,1.07
169,Vezarinho #10,Corinthians,27,9.04,2.48,2.7,1.04,0.7,0.3,0.04,0.48
170,Gabriel #8,BRB/Brasília,23,9.47,2.48,3.13,0.78,1.04,0.39,0.0,0.61
171,Ianguas #20,Paulistano,22,6.36,2.36,1.41,1.36,0.09,0.14,0.09,0.09
172,Edu Marília #11,Sesi Franca,25,5.57,2.36,2.12,1.12,0.28,0.12,0.08,0.44
173,Nathan #43,Sesi Franca,6,3.2,2.33,1.83,0.67,0.17,0.17,0.0,0.17
174,Camargo #13,Flamengo,5,6.72,2.2,2.8,0.6,0.8,0.8,0.0,1.6
175,Gemadinha #35,UNIFACISA,26,8.0,2.12,3.04,0.46,0.65,0.19,0.0,0.42
176,Colina #8,Mogi,10,4.67,2.1,2.0,0.7,0.2,0.2,0.0,0.2
177,Maciel #34,Flamengo,12,5.28,1.92,1.67,1.67,0.17,0.08,0.0,0.42
178,Jonatan #50,Paulistano,11,6.46,1.91,2.82,0.64,0.27,0.09,0.0,0.45
179,Djalo #35,Corinthians,11,5.29,1.82,1.82,1.27,0.0,0.27,0.09,0.18
180,Varejão #50,VipTech CMB,4,1.74,1.75,2.0,0.75,0.0,0.0,0.0,0.25
181,Jamison #6,Pinheiros,12,14.14,1.75,3.5,2.08,0.25,0.17,0.08,1.0
182,R. Stabile #17,KTO/Caxias do Sul,29,7.54,1.69,1.72,1.28,0.41,0.1,0.07,0.55
183,Alexei Patrício #3,Bauru,25,7.03,1.68,1.76,0.76,0.4,0.24,0.0,0.48
184,André #23,Paulistano,3,3.84,1.67,1.0,1.0,0.0,0.0,0.0,0.0
185,Igor #20,São Paulo,15,7.77,1.67,1.2,1.27,1.2,0.27,0.0,0.27
186,Dias #31,Minas,10,4.42,1.6,1.5,0.9,0.0,0.2,0.0,0.0
187,Augusto #46,Minas,9,3.29,1.56,1.11,1.44,0.0,0.0,0.0,0.0
188,Felipe #16,Mogi,18,3.47,1.56,0.61,1.22,0.22,0.06,0.39,0.39
189,Luis #9,Cerrado Basquete,18,7.99,1.56,2.28,0.5,0.67,0.22,0.0,0.33
190,J V Vieira #90,Cerrado Basquete,2,1.33,1.5,1.5,0.5,0.0,0.0,0.0,0.0
191,Santana #34,Pinheiros,2,18.42,1.5,1.0,2.5,0.0,0.5,0.0,1.0
192,Ludwig #14,Corinthians,8,2.44,1.5,1.5,0.5,0.0,0.0,0.0,0.25
193,João Pedro #16,Bauru,6,6.54,1.33,1.67,0.67,0.0,0.17,0.0,0.5
194,Lobo #9,Fortaleza B. C.,16,5.26,1.31,2.06,0.5,0.19,0.31,0.0,0.63
195,Dida #41,KTO/Caxias do Sul,7,4.91,1.14,0.71,0.86,0.0,0.0,0.0,0.14
196,D. Penteado #12,São Paulo,15,8.11,1.13,1.13,1.8,0.13,0.27,0.0,0.33
197,Rafael #12,Paulistano,8,2.68,1.13,0.63,0.88,0.0,0.13,0.25,0.25
198,Rubinho #15,KTO/Caxias do Sul,2,1.2,1.0,1.5,0.0,0.0,0.0,0.0,0.0
199,Vinícius #3,Paulistano,2,2.87,1.0,1.5,0.0,0.0,0.0,0.0,0.0
200,Murilo #5,Pato Basquete,4,4.33,1.0,0.0,0.5,1.0,0.25,0.0,0.25
201,L. Brito #6,VipTech CMB,11,6.3,1.0,1.55,1.0,0.27,0.64,0.0,0.82
202,Emanuel Matias #11,Bauru,11,3.57,1.0,0.82,0.73,0.0,0.18,0.0,0.27
203,Kirsten #11,Pato Basquete,11,6.57,1.0,1.55,0.45,0.09,0.0,0.0,0.18
204,Derick #8,Pato Basquete,24,6.23,1.0,1.08,0.96,0.29,0.29,0.0,0.38
205,Gabriel #7,Fortaleza B. C.,16,5.57,0.81,1.38,0.75,0.06,0.06,0.06,0.0
206,Felipe #11,BRB/Brasília,15,3.77,0.53,0.67,0.47,0.27,0.13,0.0,0.2
207,Dalaqua #8,Corinthians,19,7.89,0.53,1.63,0.37,0.32,0.0,0.0,0.32
208,Capela #5,Pinheiros,8,13.3,0.5,3.0,1.38,1.0,0.63,0.0,1.38
209,Beto #5,Paulistano,24,3.91,0.5,0.42,0.58,0.42,0.25,0.0,0.33
210,Cadu #10,BRB/Brasília,3,0.96,0.33,0.0,0.33,0.0,0.0,0.0,0.0
211,Cristhyã #41,Flamengo,4,2.33,0.25,0.5,0.25,0.0,0.25,0.0,0.5
212,L. Muller #10,VipTech CMB,4,8.66,0.25,0.5,0.75,1.25,0.0,0.0,0.25
213,Rapha #1,VipTech CMB,13,2.4,0.15,0.31,0.15,0.46,0.15,0.0,0.31
214,Adriano Big #4,KTO/Caxias do Sul,17,6.84,0.12,1.06,1.47,0.0,0.0,0.0,1.29
215,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Ziggy #14,Mogi,2,4.38,0.0,0.0,1.5,0.0,0.5,0.0,0.5
218,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.5,0.0,0.0,0.0,0.0
219,Duarte #17,Cerrado Basquete,2,3.35,0.0,0.0,0.0,0.0,0.5,0.0,0.0
220,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Pedro Silva #6,Mogi,4,2.2,0.0,0.0,0.5,0.0,0.25,0.0,0.5
224,Lukas Josuel #12,Bauru,5,1.91,0.0,0.4,0.2,0.0,0.0,0.0,0.2
225,Buiú #14,Paulistano,12,3.08,0.0,0.5,0.33,0.0,0.17,0.08,0.08
226,Ribeiro #12,Minas,7,4.4,-0.29,0.57,0.0,0.0,0.43,0.0,0.57
227,Wander Broock #26,VipTech CMB,3,1.04,-0.33,0.0,0.0,0.0,0.0,0.0,0.0
228,Vitor #7,Sesi Franca,7,2.08,-0.43,0.29,0.0,0.0,0.0,0.0,0.0
229,Cestari #22,Corinthians,2,0.55,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
230,Léo Abreu #13,Sesi Franca,3,1.09,-0.67,0.0,0.0,0.0,0.0,0.0,0.33
231,Du Klafke #14,Sesi Franca,1,1.53,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,P. Barros #21,BRB/Brasília,1,1.12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,P. Costa #1,BRB/Brasília,1,1.12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Daniel #0,Paulistano,1,3.3,-2.0,0.0,0.0,0.0,0.0,0.0,1.0
