Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,DD,TD
192,Yago #2,Flamengo,15,25.55,13.73,10.67,3.47,5.07,0.93,0.0,0.0,0.0
193,Betinho #26,UNIFACISA,15,28.58,11.73,12.67,3.33,4.0,1.47,0.07,0.0,0.0
194,M. Pajé #25,VipTech CMB,15,23.75,11.27,7.53,6.27,2.13,0.67,0.47,0.0,0.0
195,Pezão #21,VipTech CMB,15,12.46,5.4,4.07,2.73,0.67,0.53,0.2,0.0,0.0
196,Chuzito #8,Flamengo,15,25.42,10.93,13.13,2.67,1.87,1.07,0.0,0.0,0.0
197,Dikembe #20,Bauru,15,15.32,5.73,5.33,3.27,0.2,0.8,0.27,0.0,0.0
198,Leal #2,Pato Basquete,15,18.37,6.4,5.87,4.27,0.4,0.47,0.33,0.0,0.0
199,Rafa #16,UNIFACISA,15,20.13,9.0,7.27,3.67,0.6,0.73,0.07,0.0,0.0
200,Nico #22,KTO/Caxias do Sul,15,31.08,12.53,11.73,2.2,3.73,0.73,0.13,0.0,0.0
201,Pierotti #4,VipTech CMB,15,32.75,13.33,15.0,4.33,4.93,0.93,0.07,0.0,0.0
202,Crescenzi #8,Cerrado Basquete,15,13.68,4.2,4.27,1.93,0.93,0.47,0.13,0.0,0.0
203,Humberto #19,Pinheiros,15,32.49,7.87,11.4,3.53,2.73,1.07,0.47,0.0,0.0
204,Jimmy #18,Paulistano,15,27.78,6.47,9.07,3.47,1.73,0.6,0.07,0.0,0.0
205,Pecos #23,UNIFACISA,15,20.78,9.53,7.8,2.73,3.33,0.8,0.07,0.0,0.0
206,Jefferson #11,São Paulo,15,19.25,9.73,8.0,5.8,0.93,0.73,0.07,0.0,0.0
207,Servelin #3,Pato Basquete,15,18.1,7.0,6.67,2.27,0.73,0.53,0.2,0.0,0.0
208,Pedro #9,KTO/Caxias do Sul,15,19.41,5.8,5.47,2.8,1.8,0.73,0.13,0.0,0.0
209,Gabriel #2,Pinheiros,15,20.27,7.4,10.0,2.0,3.0,0.73,0.07,0.0,0.0
210,Nehemias #7,UNIFACISA,15,26.91,12.0,13.27,4.33,3.07,0.87,0.13,0.0,0.0
211,Hettsheimeir #30,Flamengo,15,21.43,13.93,13.8,5.93,1.4,0.53,0.27,0.0,0.0
212,Bennett #3,São Paulo,15,32.6,14.87,11.73,2.6,3.73,1.2,0.07,0.0,0.0
213,Luizinho #11,VipTech CMB,15,17.36,6.73,5.0,3.93,1.53,0.4,0.2,0.0,0.0
214,Vezaro #10,UNIFACISA,15,17.46,7.2,5.93,2.27,1.13,0.67,0.0,0.0,0.0
215,Doria #7,Paulistano,15,13.78,5.2,4.13,2.93,1.07,0.4,0.07,0.0,0.0
216,Magna #19,VipTech CMB,15,12.61,4.07,5.13,1.6,0.8,0.33,0.07,0.0,0.0
217,André Goes #40,Sesi Franca,15,31.84,17.2,13.6,5.13,4.73,1.33,0.2,0.0,0.0
218,Lucas Lima #4,Cerrado Basquete,15,17.59,5.13,4.47,1.53,1.8,0.93,0.13,0.0,0.0
219,Deryk #9,Paulistano,15,28.62,9.27,9.6,3.4,4.2,1.07,0.07,0.0,0.0
